Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
XANAX XR 0.50MG 30 SR TAB,30.00,$15.03,$20.59,$24.29,2014
XANAX XR 1MG 30 SR TAB,30.00,$23.07,$31.61,$37.29,2014
XANAX XR 2MG 30 SR TAB,30.00,$40.06,$53.88,$63.57,2014
XARELTO 10MG  100 FILM COATED TABLETS,100.00,"$1,032.41","$1,213.08","$1,431.44",2014
XARELTO 10MG  30 FILM COATED TABLETS,30.00,$309.72,$363.92,$429.43,2014
XARELTO 15MG 28 F.C.TAB,28.00,$288.30,$338.75,$399.73,2014
XARELTO 20MG 28 F.C.TAB,28.00,$288.30,$338.75,$399.73,2014
XATRAL 2.5MG 30TAB,30.00,$24.26,$33.24,$39.23,2014
XATRAL SR 5MG 56TAB,56.00,$62.77,$84.43,$99.62,2014
XATRAL XL 10MG 30TAB,30.00,$54.61,$73.45,$86.67,2014
XEFO 8MG 20TAB,20.00,$22.64,$31.02,$36.60,2014
XELODA TABLETS 150MG 60 F.C.TABS,60.00,$236.32,$277.67,$327.65,2014
XELODA TABLETS 500MG 120TAB,120.00,"$1,534.21","$1,802.70","$2,127.18",2014
XENAZINE 25MG 112TAB,112.00,$718.42,$844.15,$996.09,2014
XENICAL 120MG 84CAP,84.00,$288.82,$339.36,$400.45,2014
XEPLION 100MG/1ML 1 SYRINGE 0.5ML,1.00,$980.76,"$1,152.39","$1,359.82",2014
XEPLION 100MG/1ML 1 SYRINGE 0.75ML,1.00,"$1,364.14","$1,602.86","$1,891.38",2014
XEPLION 100MG/1ML 1 SYRINGE 1.5ML,1.00,"$2,291.44","$2,692.44","$3,177.08",2014
XEPLION 100MG/1ML 1 SYRINGE 1ML,1.00,"$1,660.47","$1,951.05","$2,302.24",2014
XGEVA 120MG/1.7ML 1VIAL,1.00,"$1,507.49","$1,771.30","$2,090.13",2014
XGEVA 120MG/1.7ML 4VIAL,4.00,"$6,029.96","$7,085.20","$8,360.53",2014
XOLAIR 150MG/VIAL PWDR FOR INJ,1.00,"$1,767.08","$2,076.32","$2,450.06",2014
YASMIN  1X21TAB,21.00,$32.35,$44.32,$52.29,2014
YASMIN  3X21TAB,63.00,$97.05,$121.31,$143.14,2014
YAZ 1X28TABLETS,28.00,$39.20,$52.72,$62.21,2014
YAZ 3X28TABLETS,84.00,$117.59,$146.99,$173.45,2014
YENTREVE 20MG 56CAPS,56.00,$222.39,$261.30,$308.34,2014
YENTREVE 40MG 56CAPS,56.00,$222.39,$261.30,$308.34,2014
YERVOY 5MG/ML VIAL10ML,10.00,"$20,417.70","$23,990.80","$28,309.14",2014
YERVOY 5MG/ML VIAL40ML,40.00,"$81,670.81","$95,963.20","$113,236.57",2014
YOMESAN 4TAB,4.00,$16.16,$22.14,$26.13,2014
YONDELIS 1MG VIAL,1.00,"$8,756.12","$10,288.44","$12,140.36",2014
ZADITEN EYE DROPS 5ML,5.00,$31.03,$42.51,$50.17,2014
ZALDIAR 20 TAB,20.00,$16.90,$23.15,$27.32,2014
ZALTRAP 25MG/ML 1VIAL/4ML(100MG),4.00,"$1,948.40","$2,289.37","$2,701.46",2014
ZALTRAP 25MG/ML 1VIAL/8ML(200MG),8.00,"$3,896.80","$4,578.74","$5,402.91",2014
ZANTAC INJ 5AMPX2ML,5.00,$15.47,$21.20,$25.01,2014
ZANTAC SYR150MG/10ML 300ML,300.00,$25.50,$34.94,$41.22,2014
ZAPPA 10 30TAB,30.00,$167.88,$209.85,$247.63,2014
ZAPPA 5MG 30TAB,30.00,$83.78,$112.69,$132.97,2014
ZAPPA 7.5MG 60TAB,60.00,$314.08,$369.05,$435.47,2014
ZAPPA ODT 10MG 30 O.D.TAB,30.00,$165.83,$207.28,$244.60,2014
ZAPPA ODT 5MG 30 O.D.TAB,30.00,$84.14,$113.16,$133.53,2014
ZARIDEX 150MG 20TAB,20.00,$12.40,$16.99,$20.04,2014
ZARIDEX 300MG 10TAB,10.00,$11.80,$16.16,$19.07,2014
ZEFFIX 100MG 28TAB,28.00,$252.24,$296.38,$349.72,2014
ZEFFIX ORAL SOL 5MG/ML 240ML,240.00,$139.58,$174.48,$205.89,2014
ZELBORAF 240MG 56TAB,56.00,"$10,120.43","$11,891.50","$14,031.97",2014
ZEMPLAR 1MCG 28 CAPSULES,28.00,$430.50,$505.83,$596.88,2014
ZEMPLAR 2 MCG 28 CAPSULES,28.00,$832.70,$978.42,"$1,154.54",2014
ZEMPLAR 5MCG/ML 5AMPX1ML,5.00,$412.80,$485.04,$572.34,2014
ZETO 250 6TAB,6.00,$24.74,$33.89,$39.99,2014
ZEVALIN 1.6MG/ML  VIAL 2ML COLD KIT,1.00,"$46,004.30","$54,055.05","$63,784.95",2014
ZIAGEN 300MG 60TAB,60.00,"$1,184.01","$1,391.21","$1,641.63",2014
ZIAGEN ORAL SOL 240ML,240.00,$326.81,$384.00,$453.12,2014
ZIDOVAL VAG. GEL 7.5MG/G 40G + APPLICATORS,40.00,$40.35,$54.27,$64.04,2014
ZINACEF INJ 750MGX5,5.00,$53.37,$71.78,$84.71,2014
ZINDACLIN 1% GEL 30GR,30.00,$40.34,$54.25,$64.02,2014
ZINNAT 125MG 10TAB,10.00,$11.53,$15.80,$18.64,2014
ZINNAT 250MG 10TAB,10.00,$16.61,$22.76,$26.86,2014
ZINNAT 250MG/5ML  SUSP 50ML,50.00,$15.79,$21.63,$25.53,2014
ZINNAT 250MG/5ML SUSP 100ML,100.00,$31.58,$43.26,$51.05,2014
ZINNAT 500MG 10TAB,10.00,$31.32,$42.91,$50.63,2014
ZINNAT SUSP 125MG/5ML 50ML,50.00,$19.91,$27.28,$32.19,2014
ZMAX POWDER FOR SUSP BOTTLE 2G,1.00,$42.77,$57.53,$67.88,2014
ZODORM 10MG 20TAB,20.00,$12.53,$17.17,$20.26,2014
ZOELY 28TAB,28.00,$38.22,$51.41,$60.66,2014
ZOELY 3X28TAB,84.00,$114.66,$143.32,$169.12,2014
ZOFRAN 4MG 10TAB,10.00,$114.74,$143.42,$169.24,2014
ZOFRAN 8MG 10TAB,10.00,$153.96,$192.45,$227.09,2014
ZOFRAN INJ 5X4MG/2ML,5.00,$117.01,$146.26,$172.59,2014
ZOFRAN INJ. 8 MG/4ML,5.00,$203.13,$238.67,$281.63,2014
ZOLADEX 3.6MG 1PREFILLED SYR,1.00,$517.98,$608.62,$718.17,2014
ZOLADEX LA 10.8MG SINGLE DOSE SYR,1.00,"$1,564.41","$1,838.18","$2,169.06",2014
ZOLEDRONIC TEVA 4MG/5ML 1VIAL,1.00,$709.26,$833.38,$983.39,2014
ZOMACTON 10MG 1VIAL/4ML,1.00,"$1,240.54","$1,457.64","$1,720.02",2014
ZOMERA 4MG/5ML CONCENTRATE FOR INF.,1.00,$709.26,$833.38,$983.39,2014
ZOMIG 2.5MG 3TAB,3.00,$41.04,$55.19,$65.13,2014
ZOMIG RAPIMELT 2.5MG 2TAB,2.00,$20.73,$28.40,$33.51,2014
ZOMIG RAPIMELT 2.5MG 6TAB,6.00,$62.18,$83.64,$98.69,2014
ZOSTAVAX (ZOSTER VACCINE LIVE) VIAL 0.65ML,1.00,$607.33,$713.61,$842.06,2014
ZOVIRAX 200MG 25TAB,25.00,$30.87,$42.30,$49.91,2014
ZOVIRAX 400MG 70TAB,70.00,$65.66,$88.31,$104.21,2014
ZOVIRAX 800MG 35 DISPERS TAB,35.00,$176.43,$220.54,$260.24,2014
ZOVIRAX CREAM 10G,10.00,$65.95,$88.70,$104.67,2014
ZOVIRAX IV FOR INFUSION 250MG 5AMP,5.00,$176.95,$221.19,$261.00,2014
ZOVIRAX OPHT OINT 4.5G,4.50,$28.17,$38.59,$45.53,2014
ZOVIRAX SUSP 125ML,125.00,$98.76,$123.45,$145.67,2014
ZYBAN 150MG 60TAB SUSTAINED RELEASE,60.00,$282.91,$332.42,$392.26,2014
ZYPADHERA 210MG 1VIAL POWDER FOR SUSPENSION FOR INJ,1.00,$738.32,$867.52,"$1,023.68",2014
ZYPADHERA 300MG 1VIAL POWDER FOR SUSPENSION FOR INJ,1.00,"$1,091.87","$1,282.94","$1,513.87",2014
ZYPADHERA 405MG 1VIAL POWDER FOR SUSPENSION FOR INJ,1.00,"$1,444.02","$1,696.73","$2,002.14",2014
ZYPREXA 10MG 28TAB,28.00,$156.69,$195.86,$231.12,2014
ZYPREXA 5MG 28TAB,28.00,$78.20,$105.17,$124.10,2014
ZYPREXA 7.5MG 56TAB,56.00,$293.14,$344.44,$406.44,2014
ZYPREXA INJ 10MG,1.00,$18.44,$25.27,$29.82,2014
ZYPREXA VELOTAB 10MG 28TAB,28.00,$154.77,$193.47,$228.29,2014
ZYPREXA VELOTAB 15MG 28TAB,28.00,$258.10,$303.27,$357.86,2014
ZYPREXA VELOTAB 5MG 28TAB,28.00,$78.53,$105.62,$124.63,2014
ZYTIGA 250MG 120TAB,120.00,"$16,070.54","$18,882.89","$22,281.81",2014
ZYVOXID 600MG 10TAB,10.00,"$2,915.30","$3,425.48","$4,042.06",2014
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.00,"$3,826.96","$4,496.68","$5,306.08",2015
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.00,"$2,288.60","$2,689.10","$3,173.14",2015
ABILIFY 10MG 28TAB,28.00,$455.76,$535.52,$631.91,2015
ABILIFY 15MG 28TAB,28.00,$442.31,$519.71,$613.26,2015
ABILIFY 30MG 28TAB,28.00,$696.70,$818.62,$965.98,2015
ABILIFY 5MG 28TAB,28.00,$417.63,$490.71,$579.04,2015
ABITREN 100MG 10 SR TAB,10.00,$7.18,$9.83,$11.60,2015
ABITREN 100MG 20 SR TAB,20.00,$14.35,$19.66,$23.20,2015
ABITREN 50MG 10SUPP,10.00,$8.04,$11.01,$13.00,2015
ABITREN INJ 75MG/3CC,5.00,$8.07,$11.06,$13.05,2015
ABSTRAL 100MCG 30TAB SUBLINGUAL,30.00,$786.34,$923.95,"$1,090.26",2015
ABSTRAL 200MCG 30TAB SUBLINGUAL,30.00,$854.42,"$1,003.95","$1,184.66",2015
ABSTRAL 400MCG 30TAB SUBLINGUAL,30.00,$881.36,"$1,035.60","$1,222.01",2015
ABSTRAL 600MCG 30TAB SUBLINGUAL,30.00,$893.29,"$1,049.61","$1,238.54",2015
ABSTRAL 800MCG 30 TAB SUBLINGUAL,30.00,$885.36,"$1,040.30","$1,227.56",2015
ACERIL 12.5MG 90TAB,90.00,$22.10,$30.28,$35.73,2015
ACERIL 25MG 90TAB,90.00,$26.24,$35.94,$42.41,2015
ACERIL 50MG 90TAB,90.00,$42.62,$57.33,$67.65,2015
ACLASTA 5MG/100ML 1BOTTLE,1.00,"$1,321.96","$1,553.30","$1,832.89",2015
ACNETRIM SOL 25ML,25.00,$12.20,$16.71,$19.72,2015
ACROSE 100MG 30TAB,30.00,$19.78,$27.09,$31.97,2015
ACROSE 50MG 30TAB,30.00,$13.72,$18.80,$22.18,2015
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.,1.00,"$1,627.78","$1,912.64","$2,256.92",2015
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.,1.00,$658.21,$773.39,$912.60,2015
ACTIQ 1200MCG 30 COMPRESSED TAB,30.00,$987.34,"$1,160.12","$1,368.95",2015
ACTIQ 1600MCG 30 COMPRESSED TAB,30.00,$987.34,"$1,160.12","$1,368.95",2015
ACTIQ 200MCG 30 COMPRESSED TAB,30.00,$854.42,"$1,003.95","$1,184.66",2015
ACTIQ 400MCG 30 COMPRESSED TAB,30.00,$881.36,"$1,035.60","$1,222.01",2015
ACTIQ 600MCG 30 COMPRESSED TAB,30.00,$893.29,"$1,049.61","$1,238.54",2015
ACTIQ 800MCG 30 COMPRESSED TAB,30.00,$885.36,"$1,040.30","$1,227.56",2015
ACTIVELLE 28TAB,28.00,$39.34,$52.91,$62.44,2015
ACTONEL 5MG 28TAB,28.00,$57.73,$77.65,$91.63,2015
ACTOS 15MG 28TAB,28.00,$64.05,$86.15,$101.65,2015
ACTOS 30MG 28TAB,28.00,$116.12,$145.15,$171.28,2015
ACTOS 45MG 28TAB,28.00,$157.85,$197.31,$232.83,2015
ACYCLO-V 200MG 30TAB,30.00,$31.74,$43.48,$51.31,2015
ACYCLO-V 400MG 30TAB,30.00,$26.16,$35.84,$42.29,2015
ACYCLOVENIR 250MG 5VIAL/10ML,5.00,$165.94,$207.42,$244.76,2015
ADAFERIN CREAM 0.1% 30GR,30.00,$26.89,$36.84,$43.47,2015
ADAFERINE GEL 30GR,30.00,$26.89,$36.84,$43.47,2015
ADCETRIS 50MG/VIAL,1.00,"$16,810.00","$19,751.75","$23,307.06",2015
ADCIRCA 20MG 56TAB,56.00,"$2,378.35","$2,794.56","$3,297.58",2015
ADIZEM CD 120MG 30CAP,30.00,$24.85,$34.04,$40.17,2015
ADIZEM CD 180MG 30CAP,30.00,$31.85,$43.63,$51.48,2015
ADIZEM CD 240MG 30CAP,30.00,$43.77,$58.87,$69.46,2015
AERIUS 5MG 15TAB,15.00,$10.00,$13.70,$16.17,2015
AERIUS 5MG 30TAB,30.00,$20.00,$27.41,$32.34,2015
AERIUS SYRUP 0.5MG/ML 120ML,120.00,$10.82,$14.83,$17.50,2015
AEROVENT SOL 20ML,20.00,$22.87,$31.33,$36.97,2015
AFINITOR 10MG 30TABLETS,30.00,"$15,769.26","$18,528.88","$21,864.08",2015
AFINITOR 2.5MG 30TABLETS,30.00,"$6,476.05","$7,609.36","$8,979.04",2015
AFINITOR 5MG 30TABLETS,30.00,"$11,341.08","$13,325.77","$15,724.41",2015
AGGRASTAT 0.05MG/ML BAG 250ML,250.00,$802.82,$943.32,"$1,113.12",2015
AGGRENOX 60 CAPS,60.00,$51.04,$68.64,$81.00,2015
AGIOLAX GRANULES 200GR,200.00,$40.16,$54.02,$63.74,2015
AGISERC 16MG 30TAB,30.00,$11.30,$15.48,$18.27,2015
AGISPOR CREAM 15GR,15.00,$18.30,$25.06,$29.58,2015
AGISPOR GEL 15GR,15.00,$8.07,$11.05,$13.04,2015
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10.00,$89.34,$120.16,$141.79,2015
AGISPOR SOL 15ML,15.00,$12.83,$17.58,$20.74,2015
AGISTEN 1 VAGINAL TAB  0.5GR,1.00,$9.08,$12.44,$14.68,2015
AGISTEN 3 VCR 20GR 2%,20.00,$17.78,$24.36,$28.75,2015
AGISTEN 6 VAGINAL TAB 0.1GR,6.00,$8.76,$12.01,$14.17,2015
AGRIPPAL S1,1.00,$24.34,$33.35,$39.35,2015
AGRYLIN 0.5MG 100CAP,100.00,"$1,883.09","$2,212.63","$2,610.90",2015
AKNE-MYCIN PLUS SOL 25ML,25.00,$41.35,$55.62,$65.63,2015
AKNE-MYCIN SOL 25ML,25.00,$12.20,$16.71,$19.72,2015
ALCON AZOPT 1% 5ML,5.00,$42.20,$56.76,$66.98,2015
ALDACTONE 25MG 20T,20.00,$7.15,$9.80,$11.56,2015
ALDARA 5% CREAM 12SACH,12.00,$273.59,$321.46,$379.33,2015
ALDURAZYME 500U/5ML 1VIAL(5ML),1.00,"$3,138.37","$3,687.58","$4,351.35",2015
ALENDRONATE TEVA 10MG 30TAB,30.00,$58.34,$78.47,$92.60,2015
ALENDRONATE TEVA 70MG 4TAB,4.00,$35.10,$48.08,$56.74,2015
ALFU-KAL XL 10MG 30TAB,30.00,$52.10,$70.07,$82.68,2015
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30.00,$52.10,$70.07,$82.68,2015
ALIMTA 100MG/VIAL VIAL 10ML,1.00,"$1,094.47","$1,286.00","$1,517.48",2015
ALIMTA 500MG/VIAL VIAL 50ML,1.00,"$5,409.73","$6,356.43","$7,500.59",2015
ALKERAN  2MG 25 TABS,25.00,$209.81,$246.52,$290.90,2015
ALKERAN INJ 50MG/10ML,1.00,$121.24,$151.55,$178.83,2015
ALLEGRO NASAL SPRAY 15ML (120DOSES),120.00,$32.80,$44.93,$53.02,2015
ALLORIL 100MG 50TAB,50.00,$7.68,$10.52,$12.42,2015
ALLORIL 300MG 20TAB,20.00,$6.15,$8.42,$9.94,2015
ALOMIDE 10ML,10.00,$37.40,$51.24,$60.47,2015
ALPHA D3 0.25MCG 30CAP,30.00,$17.15,$23.50,$27.73,2015
ALPHA D3 1MCG 30CAP,30.00,$41.40,$55.69,$65.71,2015
ALPRALID 0.25MG 30TAB,30.00,$6.63,$9.08,$10.72,2015
ALPRALID 0.50MG 30TAB,30.00,$9.70,$13.30,$15.69,2015
ALPRALID 1MG 30TAB,30.00,$15.81,$21.66,$25.55,2015
ALPROX 0.25MG 30TAB,30.00,$6.63,$9.08,$10.72,2015
ALPROX 0.50MG 30TAB,30.00,$9.70,$13.30,$15.69,2015
ALPROX 1MG 30TAB,30.00,$15.81,$21.66,$25.55,2015
AMARYL 1MG 30TAB,30.00,$7.94,$10.88,$12.84,2015
AMARYL 2MG 30TAB,30.00,$11.50,$15.76,$18.60,2015
AMARYL 3MG 30TAB,30.00,$18.20,$24.94,$29.42,2015
AMARYL 4MG 30TAB,30.00,$20.74,$28.41,$33.52,2015
AMIODACORE 200MG 30TAB,30.00,$19.10,$26.17,$30.88,2015
AMIODACORE INJECTION 150MG/3ML 6X3AMP,6.00,$13.55,$18.56,$21.90,2015
AMLODIPINE PHARMASWISS 10 MG 20TAB,20.00,$9.50,$13.02,$15.36,2015
AMLODIPINE PHARMASWISS 5 MG 20TAB,20.00,$4.72,$6.47,$7.63,2015
AMLODIPINE TEVA 10MG 20TAB,20.00,$9.50,$13.02,$15.36,2015
AMLODIPINE TEVA 5MG 20TAB,20.00,$4.72,$6.47,$7.63,2015
AMLOW 10MG 20TAB,20.00,$9.50,$13.02,$15.36,2015
AMLOW 5MG 20TAB,20.00,$4.72,$6.47,$7.63,2015
AMOXICLAV TEVA 875MG 14TAB,14.00,$24.72,$33.87,$39.97,2015
ANAFRANIL 25MG 30TAB,30.00,$9.54,$13.07,$15.43,2015
ANAFRANIL SR 75MG 20TAB,20.00,$20.97,$28.73,$33.91,2015
ANASTROL 1MG 30TAB,30.00,$168.56,$210.69,$248.62,2015
ANASTROZOLE 1MG 30TAB,30.00,$168.56,$210.69,$248.62,2015
ANASTROZOLE INOVAMED 1MG 30TAB,30.00,$168.56,$210.69,$248.62,2015
ANDROCUR 10MG 15TAB,15.00,$20.71,$28.37,$33.48,2015
ANDROCUR 50MG 50TAB,50.00,$120.74,$150.93,$178.10,2015
ANDROGEL 50MG 30SACHX5G,30.00,$192.59,$240.74,$284.07,2015
ANDROXON 40MG 30CAP,30.00,$36.97,$50.66,$59.77,2015
ANGELIQ 1X28TAB,28.00,$68.05,$91.53,$108.00,2015
APIDRA 100 IU/ML CART 5X3ML,15.00,$137.58,$171.97,$202.92,2015
APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML,15.00,$144.30,$180.38,$212.85,2015
APIDRA VIAL 1X10ML,10.00,$84.39,$113.51,$133.94,2015
APO GO PEN 10MG/ML 5X3ML,5.00,$524.50,$616.29,$727.22,2015
APO-GO 10MG/ML 5AMPX2ML,5.00,$228.98,$269.05,$317.48,2015
APOVENT SOL 20ML,20.00,$22.87,$31.33,$36.97,2015
AQUIMOD CREAM 5 % 12SACHET (0.25G),12.00,$273.59,$321.46,$379.33,2015
ARAGEST 2.5MG 30TAB,30.00,$11.09,$15.20,$17.93,2015
ARANESP 100MCG 4 PREFILLED SYR 0.5ML,4.00,"$3,382.24","$3,974.13","$4,689.47",2015
ARANESP 100MCG PREFILLED PEN 1X0.5ML,1.00,$782.13,$919.00,"$1,084.42",2015
ARANESP 10MCG 4 PREFILLED SYR 0.4ML,4.00,$345.75,$406.25,$479.38,2015
ARANESP 150MCG 4 PREFILLED SYR 0.3ML,4.00,"$4,939.30","$5,803.68","$6,848.34",2015
ARANESP 150MCG PREFILLED PEN 1X0.3ML,1.00,"$1,264.93","$1,486.29","$1,753.82",2015
ARANESP 20MCG 4 PREFILLED SYR 0.5ML,4.00,$568.42,$667.89,$788.11,2015
ARANESP 300MCG PREFILLED PEN 1X0.6ML,1.00,"$2,478.27","$2,911.97","$3,436.12",2015
ARANESP 30MCG 4 PREFILLED SYR 0.3ML,4.00,"$1,032.72","$1,213.44","$1,431.86",2015
ARANESP 40MCG 4 PREFILLED SYR 0.4ML,4.00,"$1,424.85","$1,674.20","$1,975.56",2015
ARANESP 40MCG PREFILLED PEN 1X0.4ML,1.00,$317.63,$373.22,$440.40,2015
ARANESP 500MCG PREFILLED PEN 1X1ML,1.00,"$4,098.58","$4,815.83","$5,682.68",2015
ARANESP 50MCG 4 PREFILLED SYR 0.5ML,4.00,"$1,781.07","$2,092.75","$2,469.45",2015
ARANESP 60MCG 4 PREFILLED SYR 0.3ML,4.00,"$2,053.58","$2,412.96","$2,847.29",2015
ARANESP 60MCG PREFILLED PEN 1X0.3ML,1.00,$474.47,$557.51,$657.86,2015
ARANESP 80MCG 4 PREFILLED SYR 0.4ML,4.00,"$2,734.32","$3,212.83","$3,791.14",2015
ARANESP 80MCG PREFILLED PEN 1X0.4ML,1.00,$628.38,$738.35,$871.25,2015
ARAVA 10MG 30TAB,30.00,$166.96,$208.70,$246.27,2015
ARAVA 20MG 30TAB,30.00,$182.40,$228.00,$269.04,2015
ARCOXIA 120MG 7TAB,7.00,$33.98,$46.55,$54.93,2015
ARCOXIA 30MG 28TAB,28.00,$74.11,$99.67,$117.62,2015
ARCOXIA 60MG 10TAB,10.00,$31.65,$43.36,$51.16,2015
ARCOXIA 90MG 10TAB,10.00,$34.30,$46.99,$55.44,2015
AREDIA VIAL 90MG PWDR 10ML SOLV,1.00,$478.46,$562.19,$663.39,2015
AREDIA VIALS 2X30MG + 2x10ML SOLV,2.00,$393.01,$461.78,$544.91,2015
ARICEPT 10MG 28TAB,28.00,$120.89,$151.12,$178.32,2015
ARICEPT 5MG 28TAB,28.00,$99.21,$124.02,$146.34,2015
ARIMIDEX 1MG 28TAB,28.00,$157.32,$196.65,$232.04,2015
ARIPLY 10MG 28TAB,28.00,$455.76,$535.52,$631.91,2015
ARIPLY 15MG 28TAB,28.00,$442.31,$519.71,$613.26,2015
ARIPLY 30MG 28TAB,28.00,$696.70,$818.62,$965.98,2015
ARIPLY 5MG 28TAB,28.00,$417.63,$490.71,$579.04,2015
ARIXTRA 10MG/0.8ML 10 PREFIL SYR,10.00,$690.25,$811.04,$957.03,2015
ARIXTRA 2.5MG/0.5ML 10 PREFIL SYR,10.00,$327.29,$384.57,$453.79,2015
ARIXTRA 7.5MG/0.6ML 10 PREFIL.SYRINGE,10.00,$690.25,$811.04,$957.03,2015
AROMASIN 25MG 30TAB,30.00,$265.12,$311.51,$367.58,2015
ART 50 50MG 30CAPS,30.00,$29.70,$40.69,$48.02,2015
ARTHROTEC 50 20TAB,20.00,$20.90,$28.63,$33.78,2015
ARTHROTEC 75 20TAB,20.00,$26.71,$36.60,$43.18,2015
ARTHRYL 1500MG 30 SACHETS,30.00,$37.95,$51.99,$61.35,2015
ARZERRA 1000MG/50ML 1X50ML VIAL,1.00,"$11,660.69","$13,701.32","$16,167.55",2015
ARZERRA 100MG/5ML 3X5ML VIALS,3.00,"$3,502.84","$4,115.84","$4,856.69",2015
ASACOL 400MG 100TAB,100.00,$131.06,$163.82,$193.31,2015
ASACOL 800MG 60TAB,60.00,$178.36,$222.94,$263.08,2015
ASENTA 10MG 28TAB,28.00,$120.89,$151.12,$178.32,2015
ASENTA 5MG 28TAB,28.00,$99.21,$124.02,$146.34,2015
ASSIVAL 10MG 30TAB,30.00,$9.79,$13.41,$15.82,2015
ASSIVAL 10MG/2ML 5AMP,5.00,$10.54,$14.44,$17.04,2015
ASSIVAL 2MG 30TAB,30.00,$5.84,$8.00,$9.44,2015
ASSIVAL 5MG 30TAB,30.00,$9.30,$12.74,$15.03,2015
ATACAND 16MG 28TAB,28.00,$28.82,$39.48,$46.59,2015
ATACAND 8MG 28TAB,28.00,$20.84,$28.55,$33.69,2015
ATACAND PLUS 28TAB,28.00,$29.35,$40.21,$47.45,2015
ATORVASTATIN TEVA 10MG 30TAB,30.00,$20.95,$28.70,$33.86,2015
ATORVASTATIN TEVA 20MG 30TAB,30.00,$25.88,$35.46,$41.84,2015
ATORVASTATIN TEVA 40MG 30TAB,30.00,$48.62,$65.39,$77.16,2015
ATORVASTATIN TEVA 80MG 30TAB,30.00,$55.48,$74.63,$88.06,2015
ATOSIBAN 7.5MG/ML 0.9ML(6.75MG),1.00,$120.04,$150.05,$177.06,2015
ATOSIBAN 7.5MG/ML 5ML (37.5MG),5.00,"$2,029.13","$2,384.23","$2,813.39",2015
ATRIANCE 5MG/ML INJ 6X50ML VIALS,6.00,"$8,667.67","$10,184.51","$12,017.73",2015
ATRIPLA 30TAB,30.00,"$3,397.67","$3,992.26","$4,710.87",2015
ATROSPAN DRPS 1%10CC,10.00,$19.95,$27.34,$32.26,2015
ATROVENT INHALER 20MCG 200DOSES,200.00,$23.14,$31.70,$37.41,2015
ATZIRUT X  5MG 30TAB,30.00,$17.44,$23.89,$28.19,2015
AUBAGIO 14MG 28TAB,28.00,"$6,713.98","$7,888.92","$9,308.93",2015
AUGMENTIN 1.2G 10VIALS,10.00,$119.10,$148.88,$175.68,2015
AUGMENTIN 125MG 100ML,100.00,$9.27,$12.70,$14.99,2015
AUGMENTIN 250MG 100ML,100.00,$14.86,$20.36,$24.02,2015
AUGMENTIN 250MG 20TAB,20.00,$18.99,$26.02,$30.71,2015
AUGMENTIN 400MG SUSP 35ML,35.00,$8.90,$12.19,$14.39,2015
AUGMENTIN 400MG SUSP 70ML,70.00,$17.80,$24.39,$28.78,2015
AUGMENTIN 500MG 10VIALS,10.00,$61.88,$83.23,$98.21,2015
AUGMENTIN 500MG 20TAB,20.00,$23.74,$32.52,$38.37,2015
"AUGMENTIN B.I.D ""875""MG 14TAB",14.00,$24.72,$33.87,$39.97,2015
AVAMYS 27.5MCG/DOSE 120DOSES,120.00,$37.88,$51.90,$61.24,2015
AVASTIN 100MG 25MG/ML VIAL 4ML,1.00,"$1,484.30","$1,744.05","$2,057.97",2015
AVASTIN 400MG 25MG/ML VIAL 16ML,1.00,"$5,642.39","$6,629.81","$7,823.17",2015
AVAXIM INJ SOL 1X0.5ML,1.00,$94.47,$118.09,$139.35,2015
AVODART 0.5MG 30CAPS,30.00,$120.65,$150.81,$177.96,2015
AVONEX 4X30MCG/ML SYRINGE,4.00,"$3,484.23","$4,093.97","$4,830.88",2015
AVONEX SOLUTION FOR INJECTION 30MCG/0.5ML 4PEN,4.00,"$3,719.21","$4,370.08","$5,156.69",2015
AZARGA 5ML,5.00,$58.68,$78.93,$93.13,2015
AZENIL 200MG 15ML,15.00,$16.87,$23.11,$27.27,2015
AZENIL 200MG 22.5ML,22.50,$25.30,$34.66,$40.90,2015
AZENIL 250MG 6CAPSULES,6.00,$20.77,$28.45,$33.58,2015
AZILECT 1MG 30TAB,30.00,$429.65,$504.84,$595.72,2015
AZITHROMYCIN TEVA 200MG/5ML 15ML,15.00,$16.87,$23.11,$27.27,2015
AZITHROMYCIN TEVA 200MG/5ML 22.5ML,22.50,$25.30,$34.66,$40.90,2015
BACLOSAL 10MG 50TAB,50.00,$16.69,$22.87,$26.98,2015
BACLOSAL 25MG 50TAB,50.00,$30.33,$41.55,$49.03,2015
BACTROBAN 15GR OINT,15.00,$21.09,$28.89,$34.09,2015
BACTROBAN NASAL 3GR,3.00,$26.52,$36.33,$42.87,2015
BARACLUDE 0.5 MG 30 F.C. TABS,30.00,"$1,918.97","$2,254.79","$2,660.66",2015
